trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.8}",20,16,46.992670455651385,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.8, 'e': 0.6400000000000001}",25,15,24.726083753966154,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.8, 'e': 0.5120000000000001}",20,0,-5.417972713885289,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.40960000000000013}",30,10,-1.738037564953835,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.8, 'e': 0.32768000000000014}",30,4,-1.3703646944550059,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.8, 'e': 0.2621440000000001}",25,0,-79.71130755859632,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.2097152000000001}",30,0,-37.59316088356077,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.1677721600000001}",25,12,48.36066130478819,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.13421772800000006}",20,8,60.52395639344323,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.10737418240000006}",20,0,-7.9984457955553605,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.08589934592000005}",30,23,44.67456353003872,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': 0.06871947673600004}",30,18,60.461042933180124,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.054975581388800036}",25,0,37.92007127536505,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.043980465111040035}",35,13,76.71763311752284,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.03518437208883203}",25,0,32.44978508682253,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.028147497671065627}",25,18,55.01020849821038,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.022517998136852502}",20,11,53.04976550083324,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.018014398509482003}",20,3,63.12259156569071,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.014411518807585602}",30,13,58.793447618523686,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0.011529215046068483}",35,13,83.2734510307869,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,7,67.9871219934593,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,37.041479313762544,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,82.41475654321333,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,9.948095695483413,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,23.32329154917457,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,3,70.0780727072026,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,0,37.575023204736965,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,10,62.2179597299802,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,13,62.45310761987392,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,2,52.817216265330394,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
