trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.8}",30,11,-175.7648799645931,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 3}",1
2,False,"{'a': 0.8, 'e': 0.6400000000000001}",25,1,-99.67596215510945,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 2}",1
3,False,"{'a': 0.8, 'e': 0.5120000000000001}",25,7,-67.769925223363,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 0}",1
4,False,"{'a': 0.8, 'e': 0.40960000000000013}",20,8,-42.652293239826854,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.8, 'e': 0.32768000000000014}",25,0,-19.2673491622076,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.2621440000000001}",20,8,20.614822583044994,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.8, 'e': 0.2097152000000001}",30,10,18.374391005189388,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.1677721600000001}",20,0,-35.25781184728057,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.13421772800000006}",30,19,13.723014025092876,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.10737418240000006}",20,0,3.7769023193124434,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.08589934592000005}",20,0,24.680187639635736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.06871947673600004}",25,12,22.34987762774454,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.054975581388800036}",25,15,16.392158361857565,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.043980465111040035}",25,11,3.224724519018099,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.03518437208883203}",20,9,21.840925110813522,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.028147497671065627}",25,7,7.792574447462469,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.022517998136852502}",25,7,21.946588684154424,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.018014398509482003}",20,8,23.44266158772629,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.014411518807585602}",30,21,19.150548549578954,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0.011529215046068483}",25,18,11.096106901960438,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,29.390566945022407,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,8,26.535137872040348,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,32.67829626691466,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,23.57372211467614,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,1,25.24895037306407,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,11,13.506605146428209,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,1,40.047201318636986,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,2,38.59918105253227,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,11.558028312963078,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,8,19.28271255606779,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
