trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-129.35966572331503,"{0: 22, 1: 1, 2: 11, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-53.84634893148843,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-109.51447974657493,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-117.9817292213155,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-59.846929684682074,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-56.153598461091164,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-156.34297770457076,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-109.64284440872383,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-165.35782430513655,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-69.9864093949884,"{0: 24, 1: 3, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-106.40796999773995,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-83.05033000182013,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-48.7594146443102,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-192.33028584463963,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-130.8423934987482,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,9,-100.38099628565314,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-35.986358160608326,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-195.23243740076367,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-203.51729997141996,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-89.21226931405367,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,6,-0.06905807554704335,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-42.209850055537494,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-135.79566916785024,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,8,-148.71819792698474,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",25,0,-199.48140688876458,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",30,0,-16.393663071757786,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-163.78340814328465,"{0: 10, 1: 3, 2: 2, 3: 3, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-52.52707871596795,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-97.53080576686071,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,0,-137.1825663864597,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
