trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.8}",20,10,0.6774451874421601,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.8, 'e': 0.6400000000000001}",25,17,29.55446649308987,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.8, 'e': 0.5120000000000001}",20,1,-54.029379515676865,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 2}",1
4,False,"{'a': 0.8, 'e': 0.40960000000000013}",35,1,-36.791358702166484,"{0: 24, 1: 3, 2: 6, 3: 0, 4: 1}",1
5,False,"{'a': 0.8, 'e': 0.32768000000000014}",20,11,47.94575505198707,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.8, 'e': 0.2621440000000001}",20,12,35.632607378792,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.8, 'e': 0.2097152000000001}",25,11,55.75633685322519,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.1677721600000001}",25,17,34.88039699078808,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.13421772800000006}",30,19,41.75133349457346,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.10737418240000006}",25,8,68.58793483660585,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.08589934592000005}",25,14,49.76736041444606,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': 0.06871947673600004}",30,0,-6.233911717456192,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.8, 'e': 0.054975581388800036}",20,0,-25.42200577705812,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.043980465111040035}",20,0,11.33381776909316,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.03518437208883203}",20,0,12.213449270954907,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.028147497671065627}",25,16,57.94000446724257,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.022517998136852502}",30,21,49.23599284578311,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.018014398509482003}",25,0,30.370828657102106,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.014411518807585602}",20,0,29.89125498331587,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.011529215046068483}",20,0,30.046590952713792,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,31.44314190192638,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,26.03882416604087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,26.252617848922018,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,34.04343130307907,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,19,50.06709059738476,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,26.374489554050143,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",35,0,42.08251199454179,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,26.82867462205818,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,29.849697778641364,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,25.357159428927837,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
