trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",35,0,-129.80600567377684,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-248.53337267027032,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-220.2070453276038,"{0: 19, 1: 10, 2: 1, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-216.60734334475603,"{0: 6, 1: 3, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-116.55650549369905,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-169.36084183142663,"{0: 22, 1: 6, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-67.17287996590707,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,6,-55.2766679836446,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-119.06993526548824,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-149.75891077328254,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-73.20492393381572,"{0: 23, 1: 6, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,7.120980089181367,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,6,-8.470640835272432,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,6.535664043309586,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-17.923487032209767,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-3.7236921345402445,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,14,8.781505672817849,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,24.102150811862554,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,9,18.135881394041565,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,8,6.371251707910194,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,37.28141721146663,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,25.3806245915007,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,27.218613635198256,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,10,25.801853449129375,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,3,28.8997046523324,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,33.50329924787335,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,25,18.80934857436113,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,15,18.41515505553449,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,31.237356311676425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,4,33.32819188025281,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
