trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.97, 'e': 0.97}",35,24,-57.15281726803445,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.97, 'e': 0.9409}",20,14,-9.182950248623607,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,False,"{'a': 0.97, 'e': 0.912673}",25,19,-31.728694370126956,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,False,"{'a': 0.97, 'e': 0.8852928099999999}",25,13,-80.7680242260019,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.97, 'e': 0.8587340256999999}",25,9,-140.62807466152003,"{0: 7, 1: 1, 2: 5, 3: 1, 4: 2}",1
6,False,"{'a': 0.97, 'e': 0.8329720049289999}",25,10,-117.20210408394306,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 2}",1
7,False,"{'a': 0.97, 'e': 0.8079828447811299}",20,13,-16.03533810269339,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.97, 'e': 0.783743359437696}",25,12,-128.3657348433133,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 3}",1
9,False,"{'a': 0.97, 'e': 0.7602310586545651}",20,10,-91.28206765149136,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 1}",1
10,False,"{'a': 0.97, 'e': 0.7374241268949281}",25,10,-71.17450167477624,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.97, 'e': 0.7153014030880802}",20,0,-176.82407601367137,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.97, 'e': 0.6938423609954378}",30,10,-82.42694659665808,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.97, 'e': 0.6730270901655747}",25,14,-39.09464126984905,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.97, 'e': 0.6528362774606075}",25,0,-170.60158427499215,"{0: 11, 1: 3, 2: 7, 3: 3, 4: 1}",0
15,False,"{'a': 0.97, 'e': 0.6332511891367892}",25,5,-92.62933943511489,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",1
16,False,"{'a': 0.97, 'e': 0.6142536534626856}",25,0,-151.7756001338365,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.97, 'e': 0.595826043858805}",25,12,-13.357643528295648,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.97, 'e': 0.5779512625430409}",25,10,12.207493901361715,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.97, 'e': 0.5606127246667496}",25,11,-119.22983849237929,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 2}",1
20,False,"{'a': 0.97, 'e': 0.5437943429267471}",20,10,-99.55452204744766,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 2}",1
21,False,"{'a': 0.97, 'e': 0.5274805126389447}",25,0,-62.183494439880214,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.97, 'e': 0.5116560972597763}",30,20,17.578346622727747,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.97, 'e': 0.496306414341983}",30,4,-75.59035059620435,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 1}",1
24,False,"{'a': 0.97, 'e': 0.48141722191172354}",20,0,-60.00652612276913,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.97, 'e': 0.4669747052543718}",25,19,2.595482579321816,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.97, 'e': 0.4529654640967406}",20,5,-64.88974533638977,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
27,False,"{'a': 0.97, 'e': 0.4393765001738384}",25,6,10.749582063834424,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.97, 'e': 0.42619520516862325}",20,14,-10.52296236879268,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.97, 'e': 0.4134093490135645}",20,14,-3.355485107513603,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.97, 'e': 0.4010070685431576}",35,0,-176.737594816472,"{0: 26, 1: 1, 2: 4, 3: 0, 4: 4}",0
31,False,"{'a': 0.97, 'e': 0.38897685648686287}",25,15,17.19655651791952,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.97, 'e': 0.377307550792257}",20,14,-12.473983463372054,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.97, 'e': 0.36598832426848926}",25,0,-12.33288493605461,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
34,False,"{'a': 0.97, 'e': 0.35500867454043455}",30,19,-36.430541080350004,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
35,False,"{'a': 0.97, 'e': 0.3443584143042215}",30,12,13.300787042318754,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.97, 'e': 0.3340276618750948}",30,0,-136.3931399351649,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 3}",0
37,False,"{'a': 0.97, 'e': 0.32400683201884195}",25,11,-28.241280864335337,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.97, 'e': 0.3142866270582767}",20,6,2.040444709752682,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.97, 'e': 0.3048580282465284}",30,12,8.077182579636093,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.97, 'e': 0.2957122873991326}",35,22,-52.29987133802599,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.97, 'e': 0.2868409187771586}",20,13,16.051677369743427,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.97, 'e': 0.27823569121384384}",20,0,-15.359394648395504,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.97, 'e': 0.2698886204774285}",30,9,-78.79014256674978,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
44,False,"{'a': 0.97, 'e': 0.26179196186310566}",20,0,-24.10461536405132,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.97, 'e': 0.2539382030072125}",25,14,-3.9800516030854456,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.97, 'e': 0.2463200569169961}",20,2,21.542177765767356,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.97, 'e': 0.23893045520948622}",30,0,-17.95940721309316,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.97, 'e': 0.23176254155320164}",25,14,-4.79228844810693,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.97, 'e': 0.2248096653066056}",20,12,14.303624680429994,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.97, 'e': 0.21806537534740741}",25,0,-50.28052426236384,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
51,False,"{'a': 0.97, 'e': 0.2115234140869852}",30,0,-42.80927772779508,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.97, 'e': 0.20517771166437562}",20,9,8.939318802265344,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.97, 'e': 0.19902238031444436}",25,0,37.95550361887224,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.97, 'e': 0.19305170890501103}",20,0,-24.738747013329064,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.97, 'e': 0.1872601576378607}",25,5,33.04819201079523,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.97, 'e': 0.18164235290872485}",20,2,-19.703535827340463,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.97, 'e': 0.1761930823214631}",20,0,-6.480995022922777,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
58,False,"{'a': 0.97, 'e': 0.17090728985181922}",30,0,-79.55425792439542,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
59,False,"{'a': 0.97, 'e': 0.16578007115626464}",20,0,27.82049675399788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.97, 'e': 0.1608066690215767}",25,0,31.865972682157427,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.97, 'e': 0.1559824689509294}",20,0,5.602511113733628,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.97, 'e': 0.1513029948824015}",30,0,-47.03131139891567,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
63,False,"{'a': 0.97, 'e': 0.14676390503592945}",25,0,35.830597449159754,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.97, 'e': 0.14236098788485158}",20,0,22.065279933303977,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.97, 'e': 0.13809015824830603}",25,0,23.867060464071116,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.97, 'e': 0.13394745350085685}",30,0,-14.384694575557317,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.97, 'e': 0.12992902989583113}",20,0,24.812794377503575,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.97, 'e': 0.1260311589989562}",25,0,27.515146728030707,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.97, 'e': 0.12225022422898751}",30,15,23.562925690588383,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.97, 'e': 0.11858271750211788}",20,0,12.859567234432594,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.97, 'e': 0.11502523597705434}",35,13,-0.8896407454707478,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.97, 'e': 0.1115744788977427}",20,0,-6.384418758511649,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
73,False,"{'a': 0.97, 'e': 0.10822724453081042}",25,6,0.6391359573695703,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.97, 'e': 0.10498042719488611}",30,0,-0.04770465139136704,"{0: 24, 1: 5, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.97, 'e': 0.10183101437903952}",20,0,11.374851057155432,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.97, 'e': 0.09877608394766833}",30,0,20.594644715594292,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.97, 'e': 0.09581280142923829}",20,0,29.005270330461332,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.97, 'e': 0.09293841738636113}",25,10,17.36263568735143,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.97, 'e': 0.09015026486477029}",20,0,13.446046954524162,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.97, 'e': 0.08744575691882718}",30,0,22.778208476330924,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.97, 'e': 0.08482238421126237}",30,0,11.39261909606952,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.97, 'e': 0.0822777126849245}",25,0,24.83277330317104,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.97, 'e': 0.07980938130437676}",20,0,3.433383508054745,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.97, 'e': 0.07741509986524546}",25,0,35.866875461870954,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.97, 'e': 0.0750926468692881}",20,0,22.802020380598133,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.97, 'e': 0.07283986746320946}",25,0,14.121962514935447,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.97, 'e': 0.07065467143931317}",25,0,16.37184807881395,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.97, 'e': 0.06853503129613378}",20,0,15.527434978884225,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.97, 'e': 0.06647898035724976}",20,2,-0.8086833932910351,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.97, 'e': 0.06448461094653227}",25,0,22.029500098108805,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.97, 'e': 0.06255007261813629}",20,0,13.251137933435574,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.97, 'e': 0.0606735704395922}",25,0,23.845538952160982,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.97, 'e': 0.05885336332640443}",20,0,22.98788064055323,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.97, 'e': 0.057087762426612294}",20,0,24.806922304277535,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.97, 'e': 0.05537512955381393}",20,0,25.969800344168473,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.97, 'e': 0.053713875667199505}",20,0,23.696076875268602,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.97, 'e': 0.05210245939718352}",20,0,21.26712331769896,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.97, 'e': 0.05053938561526801}",20,0,14.583618703690396,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.97, 'e': 0.049023204046809966}",25,0,-61.78515134749383,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,31.37815959644802,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,28.9663200314897,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,19.642615876490407,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,9,44.90129144084899,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,27.29885134089304,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,35.26517690251021,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
